Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,2.5648470770422045,129995844,0.9960028110335039,5128947984850.147,USD,32.45734938282949,6.5298,USD,110.33338701884364,0.13550135501355,Electronic technology,Strong buy,211.94,USD,Semiconductors
GOOGL,Alphabet Inc.,1.108404058793603,35420353,0.9710922987629287,4612847781054.311,USD,18.97233400149709,19.9053,USD,112.01789423230548,0.227570881636368,Technology services,Strong buy,377.65,USD,Internet software/Services
GOOG,Alphabet Inc.,0.773216634896769,19814824,0.8031625990797919,4597555594623.787,USD,18.85678688590476,19.9053,USD,112.01789423230548,0.228206298493838,Technology services,Strong buy,375.35,USD,Internet software/Services
AAPL,Apple Inc.,1.964273943708384,67118414,1.1033237024531168,4515147511534.823,USD,35.46593605630896,8.7233,USD,32.60922440789274,0.346054973304331,Electronic technology,Buy,309.38,USD,Telecommunications equipment
MSFT,Microsoft Corporation,1.0581359581667231,49698593,1.0911323943717384,3659382987777.841,USD,27.461633621986692,17.9454,USD,31.54908515130189,0.730031785091767,Technology services,Strong buy,492.81,USD,Packaged software
AMZN,"Amazon.com, Inc.",-2.323780015491855,67760792,1.1474711655093857,2992339239838.0913,USD,22.313916638514872,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,277.42,USD,Internet retail
AVGO,Broadcom Inc.,6.610917063967571,29195807,1.5587384511791653,1989429741192.1775,USD,69.61211919427336,6.007,USD,125.81008946695735,0.647579226474263,Electronic technology,Strong buy,418.16,USD,Semiconductors
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,2.7234000640220635,13865373,0.9178985562231403,1896155122961.9453,USD,30.108621125184946,13.8555,USD,57.78415496566567,0.680010095786856,Electronic technology,Strong buy,417.17,USD,Semiconductors
MU,"Micron Technology, Inc.",7.615430982519585,36500382,0.7290880514479414,1008175308588.8839,USD,20.208910149166556,44.1721,USD,697.287150515315,0.0638939119951778,Electronic technology,Strong buy,892.67,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",7.003136348629922,44300299,1.4937805702406457,845596877414.5055,USD,170.1992188782041,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,518.58,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,4.223388451891004,1522271,0.7924213240200322,624077229420.3203,USD,53.29504062762678,32.121,USD,23.100094276713666,0.469713428146994,Electronic technology,Strong buy,1711.89,USD,Semiconductors
INTC,Intel Corporation,10.835164835164834,118959653,0.9209437934774113,508737840000,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,100.86,USD,Semiconductors
AMAT,"Applied Materials, Inc.",5.482333416954511,7875739,1.0072057369659504,433994111982.594,USD,51.3595790660528,10.643,USD,29.538345443701996,0.368576445842419,Producer manufacturing,Strong buy,546.62,USD,Industrial machinery
LRCX,Lam Research Corporation,7.851057330029529,15737192,1.2426496378234164,397356424056.8523,USD,55.1536191633397,5.761,USD,38.53886110042323,0.353009062828825,Producer manufacturing,Strong buy,317.74,USD,Industrial machinery
PLTR,Palantir Technologies Inc.,29.454834858734575,172652620,4.872497054730997,389946821674.7485,USD,139.0137595077344,1.1701,USD,288.8667331339315,0,Technology services,Buy,162.66,USD,Packaged software
UNH,UnitedHealth Group Incorporated,-1.8417758089368341,5253841,1.1355408679564185,370259519123.71155,USD,26.217606584785543,15.551,USD,-32.64203819448956,2.15475731895223,Health services,Buy,407.71,USD,Managed health care
HSBC,"HSBC Holdings, plc.",-1.6873725199332403,2125685,1.6158861651589163,368503171607.9925,USD,17.52408652972187,6.0511,USD,11.526623292847004,3.45818653810495,Finance,Buy,106.04,USD,Major banks
MS,Morgan Stanley,2.750556265681959,8799486,1.629829926573725,342333910399.99927,USD,17.54312226191823,12.3718,USD,40.177660948582584,1.96468304691568,Finance,Buy,217.04,USD,Investment managers
GS,"Goldman Sachs Group, Inc. (The)",2.523708449360317,2592597,1.29638069053578,310636926381.0386,USD,16.25114593590167,64.7942,USD,42.76881720430108,1.65521001694156,Finance,Neutral,1052.98,USD,Investment banks/Brokers
DELL,Dell Technologies Inc.,8.91566826721365,7510227,1.2760167664554676,302922275155.6874,USD,37.131777401641756,12.5841,USD,100.63934948979589,0.538436436529766,Electronic technology,Buy,467.27,USD,Computer processing hardware
PANW,"Palo Alto Networks, Inc.",5.5339498170714085,8090204,1.3171080994830764,298567104199.19586,USD,301.34079131364643,1.2157,USD,-30.432045779685268,0,Technology services,Buy,366.34,USD,Packaged software
TXN,Texas Instruments Incorporated,5.422985429675875,8795593,0.9020201797691674,259024447893.05182,USD,43.148798929000655,6.5733,USD,20.161231354197135,2.11121022896224,Electronic technology,Buy,283.63,USD,Semiconductors
ARM,Arm Holdings plc,17.35965866309713,9774604,1.5607818877584219,255316077393,USD,287.81288469429626,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,280.56,USD,Semiconductors
KLAC,KLA Corporation,6.949384404924755,13230220,1.0010483594032231,255311501238.61887,USD,53.240173245076406,3.6711,USD,20.77178668947594,0.437756497948016,Electronic technology,Buy,195.45,USD,Semiconductors
ANET,"Arista Networks, Inc.",3.03964519443994,13664102,2.0815279861283282,239890693528.98663,USD,65.23421449116559,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy,190.51,USD,Computer peripherals
C,"Citigroup, Inc.",2.4706146589803186,11923826,1.1208387560715374,234719398385.63406,USD,14.77455499303749,9.2639,USD,36.96699982257968,1.79681066107659,Finance,Buy,136.87,USD,Major banks
AXP,American Express Company,0.5772801113947412,2730243,0.7929541403987681,234136666598.52264,USD,21.035675282125954,16.482,USD,15.718377892608398,1.02692039916454,Finance,Buy,346.71,USD,Finance/Rental/Leasing
BHP,BHP Group Limited,4.742514970059872,3084743,1.2714679593056786,215887949710.9112,USD,21.69093028446715,4.0321,USD,-9.901233464426177,3.1497005988024,Non-energy minerals,Neutral,87.46,USD,Steel
CRWD,"CrowdStrike Holdings, Inc.",4.285573220104674,8203090,1.0165630419059297,215076717431.37326,USD,,-0.0471,USD,73.039496279336,0,Technology services,Buy,211.22,USD,Packaged software
SAN,"Banco Santander, S.A. Sponsored",0.13840830449827923,10491212,0.9715555112690187,212209892253.55408,USD,11.401780789535893,1.2691,USD,38.608562691131496,1.38664359861592,Finance,Buy,14.47,USD,Major banks
SNDK,Sandisk Corporation,10.837480493466762,14327525,0.7769994064716479,211415918624.38318,USD,49.626830650291474,28.7671,USD,,0,Electronic technology,Buy,1427.62,USD,Computer peripherals
APH,Amphenol Corporation,4.891637076037719,8172257,1.0274567488509012,211247061831.9635,USD,42.8914757791964,3.9945,USD,59.36564931178935,0.56018121709318,Electronic technology,Strong buy,171.33,USD,Electronic components
SFTBY,Softbank Group Corp,7.474382157926453,5400281,0.9866614875724119,195767946345.93683,USD,6.167416118989968,2.891,USD,343.9496314496314,0.131603375527426,Communications,Buy,17.83,USD,Specialty telecommunications
MRVL,"Marvell Technology, Inc.",12.806089536833957,33404421,1.4556830815496862,191433775380.46027,USD,74.69587206123565,2.9264,USD,,0.123854986453361,Electronic technology,Strong buy,218.59,USD,Semiconductors
STX,Seagate Technology Holdings PLC,1.7194907708228142,4995206,0.7952183668731836,189551974996.36044,USD,60.91954022988506,13.8765,USD,104.87966927506275,0.353765071113999,Electronic technology,Buy,845.35,USD,Computer peripherals
WDC,Western Digital Corporation,4.047646143924721,7545448,0.9994056902476643,189078818126.12994,USD,32.74574530954328,16.7521,USD,218.5112653294039,0.0948370699138879,Electronic technology,Buy,548.56,USD,Computer peripherals
BA,Boeing Company (The),1.5718017902265569,7837657,1.0472438690227275,187444152452.32907,USD,108.00619364240822,2.1958,USD,,0,Electronic technology,Buy,237.16,USD,Aerospace & defense
ADI,"Analog Devices, Inc.",5.08732176412071,4872110,1.0891052147558802,185234331470.1947,USD,56.51340426796648,6.7292,USD,83.19222497481829,1.15507903172322,Electronic technology,Buy,380.29,USD,Semiconductors
BA/PA,"Boeing Company (The) Depositary Shares, each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock, par value $1.00",1.3668061366806192,682251,0.37691093147827315,184543494502,USD,33.0995536934147,2.1958,USD,,0,Electronic technology,No rating,72.68,USD,Aerospace & defense
BX,Blackstone Inc.,1.8711018711018572,5708132,0.9659124714014958,170651142875.69644,USD,30.77820400655046,4.4577,USD,20.325532431775855,3.69022869022869,Finance,Buy,137.2,USD,Investment managers
RYCEY,Rolls Royce Holdings plc,1.726689689195863,2244695,0.6287457646678378,168591514699.52252,USD,42.4891819493097,0.4853,USD,-45.126639529624605,0.6957427894113,Electronic technology,Strong buy,20.62,USD,Aerospace & defense
RIO,Rio Tinto Plc,3.2429614181438993,2547144,0.92026976289526,163464744306.5025,USD,13.436015741620302,7.369,USD,16.873641972371562,4.16579770594369,Non-energy minerals,Buy,99.01,USD,Other metals/Minerals
SCCO,Southern Copper Corporation,4.9755257920499165,1067873,0.9148374381265467,162828170956.64288,USD,28.883495145631066,6.7568,USD,55.9165589809858,1.94662949814426,Non-energy minerals,Sell,195.16,USD,Other metals/Minerals
UBS,UBS Group AG Registered,1.3459715639810443,1721018,0.8545811126539645,161872752742.2571,USD,18.552341111630806,2.8815770300000003,USD,40.501481459897725,2.01309048178613,Finance,Neutral,53.46,USD,Investment managers
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,-1.5445544554455468,2106980,1.1576219746537169,160598158996.7907,USD,14.285714285714286,1.7402,USD,42.091940883481676,1.90738217821782,Finance,Buy,24.86,USD,Major banks
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,-0.8462623413258055,1845831,1.2631326326525318,158117912211.6371,USD,12.481690265879534,2.2529,USD,14.331387972595788,3.06220028208745,Finance,Neutral,28.12,USD,Major banks
IBKR,"Interactive Brokers Group, Inc.",1.0028490028489978,4494014,0.8869513384762536,150335279752.44998,USD,35.3304632065694,2.5086,USD,31.567629936539564,0.373219373219373,Finance,Buy,88.63,USD,Investment banks/Brokers
COF,Capital One Financial Corporation,1.943219404630646,3818484,0.8087528756013622,136138407886.19348,USD,78.22546531302876,2.8368,USD,-76.17936014778739,1.37816979051819,Finance,Strong buy,221.91,USD,Major banks
MFG,"Mizuho Financial Group, Inc. Sponosred",0.7797270955165699,3021884,0.7782648400932728,125508573513.60938,USD,14.215012372834753,0.7274,USD,53.97967823878071,1.35873294346979,Finance,Buy,10.34,USD,Major banks
SBUX,Starbucks Corporation,1.5478378639837422,9483580,1.0009991118642088,119665803179.46278,USD,60.52586057775471,1.7343,USD,-24.99351267191419,2.38947470252491,Consumer services,Buy,104.97,USD,Restaurants
SNOW,Snowflake Inc.,3.0045849185445355,5592957,1.0402039596571098,109792483497.68666,USD,,-3.5146,USD,16.45828381269312,0,Technology services,Strong buy,316.77,USD,Packaged software
VRT,"Vertiv Holdings, LLC",2.615472343660899,5784991,0.7034449497717638,103919857222.1935,USD,61.078426935783135,4.4194,USD,111.13128224727693,0.0855350693784451,Electronic technology,Buy,269.93,USD,Electronic production equipment
DDOG,"Datadog, Inc.",5.317982456140334,4726624,1.122152436319787,102569932957.00656,USD,769.0152121697357,0.3747,USD,-18.825823223570197,0,Technology services,Strong buy,288.15,USD,Packaged software
ING,"ING Group, N.V.",-0.02828854314002266,4573302,1.943884074460508,97163081507.46442,USD,13.14927816639381,2.6876,USD,,3.04322206506365,Finance,Buy,35.34,USD,Major banks
KKR,KKR & Co. Inc.,1.5484234234234153,5146201,1.2867873083918884,97158826966.98337,USD,34.474958582897926,3.1388,USD,50.527527335507386,0.703828828828829,Finance,Strong buy,108.21,USD,Investment managers
FCX,"Freeport-McMoRan, Inc.",5.751099937146444,16257447,1.1238633639555384,96747774584.41547,USD,33.139649399251525,2.0308,USD,53.82517800333284,0.942803268384664,Non-energy minerals,Buy,67.3,USD,Other metals/Minerals
ITUB,Itau Unibanco Banco Holding SA,-3.533568904593648,16826874,0.9775435244681002,95609827081.65959,USD,11.21917808219178,0.73,USD,7.892403192432752,6.27182131160306,Finance,Strong buy,8.19,USD,Major banks
CDNS,"Cadence Design Systems, Inc.",1.3297634984382054,2009212,0.7019891974248624,93804363786.66223,USD,67.76889101110183,5.0262,USD,35.99761891877266,0,Technology services,Strong buy,340.62,USD,Packaged software
BCS,Barclays PLC,0.6827164929931775,4179857,0.6912199250133019,93186329780.03252,USD,10.34024651265776,2.7098,USD,22.921297346337045,1.60608695652174,Finance,Buy,28.02,USD,Investment banks/Brokers
LYG,Lloyds Banking Group Plc,-0.6389776357827481,15786756,1.0146583798683113,90882561389.90251,USD,14.539504441327722,0.4278,USD,,3.1235303514377,Finance,Buy,6.22,USD,Major banks
ABNB,"Airbnb, Inc.",-0.47796070100902743,3567264,1.0618985048402705,90357517687.42114,USD,36.927017906844995,4.0599,USD,2.1538384117957854,0,Consumer services,Buy,149.92,USD,Hotels/Resorts/Cruise lines
EMR,Emerson Electric Company,2.576687116564423,5241407,1.714383849030279,88966283628.67241,USD,36.64636397194537,4.3344,USD,3.4463007159904335,1.41588634162092,Electronic technology,Buy,158.84,USD,Electronic equipment/Instruments
DASH,"DoorDash, Inc.",0.9326683291770597,3555419,0.9758861827562596,88176403722.13013,USD,96.39420786891492,2.0994,USD,174.50313807531379,0,Transportation,Buy,202.37,USD,Air freight/Couriers
CMI,Cummins Inc.,-1.9865916621715323,2498001,2.566659922936529,87755518944.64027,USD,33.009960707371135,19.2657,USD,-4.155514651012388,1.23295060491639,Producer manufacturing,Buy,635.96,USD,Auto parts: OEM
BAM,Brookfield Asset Management Inc,2.4659696192542913,4156551,1.9061264532574138,85089562742.046,USD,33.66914893212635,1.542658536,USD,13.918809923757516,3.81671877304232,Finance,Buy,51.94,USD,Investment managers
ASX,"ASE Technology Holding Co., Ltd.",5.5070883315158214,10684879,1.1022525862119834,82762190626.10365,USD,45.07337526205451,0.8586,USD,81.86824825248887,0.843789531079607,Electronic technology,Buy,38.7,USD,Semiconductors
APO,"Apollo Global Management, Inc. (New)",2.9207232267037564,5188245,1.4341524173849876,78735190414.26982,USD,87.5912408759124,1.5207,USD,-73.13820391436445,1.61682892906815,Finance,Buy,133.2,USD,Investment managers
GM,General Motors Company,0.7185218978102138,5325749,0.5980306996673598,77487745597.91708,USD,44.542519923333,1.9826,USD,-68.57106623125456,0.752737226277372,Consumer durables,Buy,88.31,USD,Motor vehicles
NWG,NatWest Group plc,-1.5447991761071096,5810793,1.2608660811621784,77140983687.27,USD,9.56,2,USD,29.483361388061635,4.40264160659114,Finance,Buy,19.12,USD,Major banks
FDX,FedEx Corporation,1.325831069719301,1273085,0.8604830387338855,74130348365.63853,USD,16.90349031666397,18.537,USD,9.927059242127733,1.80119001422843,Transportation,Buy,313.34,USD,Air freight/Couriers
DB,Deutsche Bank AG,0.8071025020177486,1662154,0.8363577629150456,70191765440.48982,USD,9.928622899447397,3.7739372700000002,USD,14.97663972190941,3.10607237148626,Finance,Buy,37.47,USD,Investment banks/Brokers
SE,Sea Limited,0.26090868196130634,4233384,1.0145177915253678,68077655555.00001,USD,42.73497718295816,2.6077,USD,82.90664235112575,0,Retail trade,Strong buy,111.44,USD,Internet retail
BE,Bloom Energy Corporation,4.484243312568716,18124209,0.8439524609538074,67184634637.06004,USD,310.81891265840034,0.7339,USD,15514.893617021275,0,Electronic technology,Buy,228.11,USD,Electronic production equipment
LITE,Lumentum Holdings Inc.,8.921771018989864,6599957,1.4266167655927364,66088769834.04635,USD,157.6566878862679,5.3881,USD,,0,Producer manufacturing,Strong buy,849.47,USD,Electrical products
MPWR,"Monolithic Power Systems, Inc.",-0.6947492133861898,1218976,1.147023556413263,65590025087.69081,USD,81.82787724255444,16.3151,USD,-57.51453064455647,0.52961610270982,Electronic technology,Buy,1335.03,USD,Semiconductors
COHR,Coherent Corp.,12.351634622058732,8775606,1.7133251470356103,63334322874.65125,USD,154.55456889143514,2.0946,USD,,0,Electronic technology,Buy,323.73,USD,Semiconductors
TER,"Teradyne, Inc.",10.322580645161288,4137060,0.9374986615854085,63092868551.187096,USD,55.36789825346084,7.2887,USD,152.82528009989946,0.136686714051394,Electronic technology,Buy,403.56,USD,Electronic production equipment
ALAB,"Astera Labs, Inc.",12.652234854384053,9578438,2.16989894256358,61993108650.435974,USD,243.7786465354543,1.4836,USD,532.3955669224212,0,Electronic technology,Buy,361.67,USD,Semiconductors
DAL,"Delta Air Lines, Inc.",1.288350256578221,5145455,0.8728455682738294,61007681957.26662,USD,15.412091106939343,6.0193,USD,-12.686577989236861,0.848891800414892,Transportation,Strong buy,92.77,USD,Airlines
GRMN,Garmin Ltd.,0.8531303320645828,1347164,1.0700323599713009,59275153615.95906,USD,31.695747226003384,9.6972,USD,19.64318762260799,1.13203832523953,Electronic technology,Neutral,307.36,USD,Telecommunications equipment
KEYS,Keysight Technologies Inc.,6.011370343906311,1494201,1.2918708935768677,58316338877.32431,USD,56.22302039740337,6.0694,USD,42.551142635695335,0,Electronic technology,Buy,341.24,USD,Electronic equipment/Instruments
CIEN,Ciena Corporation,5.212918415395641,2067610,0.981296790060645,58196652418.13699,USD,136.84718570049594,3.0043,USD,318.48446858894005,0,Electronic technology,Buy,411.13,USD,Telecommunications equipment
NBIS,Nebius Group N.V.,6.190610593658856,21187813,0.7982159843385537,56807570155.48265,USD,75.3144496713709,2.9973,USD,,0,Technology services,Buy,225.74,USD,Packaged software
F,Ford Motor Company,-1.3167013167013133,51969488,0.8064149502866199,56785467333.42204,USD,,-1.7311,USD,-320.88809493428613,4.15800415800416,Consumer durables,Buy,14.24,USD,Motor vehicles
NOKBF,Nokia Corp.,6.894708711918756,533406,0.2689881077731545,55815144229.62963,USD,70.44334179324994,0.141958058,USD,-32.29847623704099,1.7283950617284,Electronic technology,Buy,10,USD,Telecommunications equipment
MT,Arcelor Mittal NY Registry Shares NEW,4.705554782124454,1395659,0.8553836389114704,52919879594.31341,USD,31.6780389183725,2.3742,USD,-27.529684686059642,0.680426005847139,Non-energy minerals,Buy,75.21,USD,Steel
NOK,Nokia Corporation Sponsored,5.982905982905988,97671765,0.9238553254629628,52031139782.03862,USD,68.50828729281767,0.1448,USD,-24.544033350703483,1.27550213675214,Electronic technology,Buy,9.92,USD,Telecommunications equipment
XYZ,"Block, Inc.",3.1063466926544003,4644974,1.079787741134864,50376350295.05762,USD,65.75512740832816,1.2872,USD,-68.69116824362123,0,Commercial services,Strong buy,84.64,USD,Miscellaneous commercial services
VIK,Viking Holdings Ltd,0.986193293885599,1899479,0.9166839677898933,47970813052.21301,USD,40.041710114702816,2.6852,USD,117.98993343075175,0,Consumer services,Buy,107.52,USD,Hotels/Resorts/Cruise lines
FLEX,Flex Ltd.,7.884206045125578,4586528,0.7517236435236625,46807047098.107445,USD,48.926558035369524,2.5898,USD,13.732378902990646,0,Electronic technology,Strong buy,126.71,USD,Electronic production equipment
STM,STMicroelectronics N.V.,3.8896340295075706,11265189,0.7923905197920743,46510742163.055176,USD,107.90049751243782,0.5025,USD,-26.866540532673568,0.586319218241042,Electronic technology,Buy,54.22,USD,Semiconductors
UMC,United Microelectronics Corporation (NEW),10.379882289994637,20050731,1.1751051888854411,45786967943.82437,USD,19.40733772342427,1.063,USD,117.16036772216545,1.64078116639914,Electronic technology,Sell,20.63,USD,Semiconductors
TTWO,"Take-Two Interactive Software, Inc.",-2.011013665103001,2095125,1.1886892779134965,44916439753.473465,USD,,-1.6144,USD,93.64199183982105,0,Technology services,Strong buy,240.22,USD,Packaged software
CRDO,Credo Technology Group Holding Ltd,8.962674604991982,6784618,1.2110941974807679,44366820832.60893,USD,95.94322122751834,2.4798,USD,789.7739504843918,0,Technology services,Strong buy,237.92,USD,Information technology services
MCHP,Microchip Technology Incorporated,7.245413453868656,15928542,1.4073830172112987,43804485258.948814,USD,373.64520611394164,0.2159,USD,,2.41956926349375,Electronic technology,Buy,80.67,USD,Semiconductors
HUM,Humana Inc.,-3.295060080106802,1533851,0.9420752900602385,43488283985.53763,USD,34.29740326154895,10.5594,USD,-18.957127726526167,0.945260347129506,Health services,Buy,362.16,USD,Managed health care
UAL,"United Airlines Holdings, Inc.",3.2946491159747784,3760087,0.9280271842490182,43046299472.76252,USD,12.395087575004206,10.6994,USD,7.196601576980504,0,Transportation,Strong buy,132.62,USD,Airlines
CLS,"Celestica, Inc.",8.55195811763328,2756305,0.7726293541438036,42675600837.3885,USD,39.606468675941294,9.370944,USD,98.90343083087613,0,Electronic technology,Strong buy,371.15,USD,Electronic components
RVMD,"Revolution Medicines, Inc.",6.0345300082214415,1612761,0.8953201238223033,41128911637.23815,USD,,-7.073,USD,-76.93115869521715,0,Health technology,Strong buy,193.46,USD,Pharmaceuticals: other
CCL,Carnival Corporation Ltd.,2.9575504523312506,21096641,1.0239930851308277,40527918615.16005,USD,13.326427670689965,2.2204,USD,20.346883468834697,1.04384133611691,Consumer services,Buy,29.59,USD,Hotels/Resorts/Cruise lines
TEVA,Teva Pharmaceutical Industries Limited,-0.08705745792223196,4899523,0.7497811994321859,39797815585.251686,USD,57.89473684210526,0.5947,USD,,0,Health technology,Strong buy,34.43,USD,Pharmaceuticals: generic
NTRA,"Natera, Inc.",1.7865068797159285,1915814,1.9751614794570995,39411437683.32867,USD,,-1.6413,USD,-11.942436229709456,0,Health technology,Strong buy,275.19,USD,Biotechnology
IQV,"IQVIA Holdings, Inc.",-2.211175865615369,1368014,0.7336903851824377,37561721491.27956,USD,28.306684694295246,8.0617,USD,16.773614148934634,0,Health technology,Strong buy,228.2,USD,Biotechnology
NTAP,"NetApp, Inc.",4.122020555434081,3590300,1.7688638866555497,37374778345.34157,USD,29.95690333134103,6.3578,USD,11.901577020557582,1.13710911874043,Electronic technology,Neutral,190.46,USD,Computer peripherals
JBL,Jabil Inc.,6.787273469644152,999857,0.9361054130547335,35627611045.196144,USD,42.43263818687833,8.0127,USD,55.77091312039503,0.1005056691479,Producer manufacturing,Buy,340,USD,Industrial machinery
TECK,Teck Resources Ltd,7.541528239202644,4514883,1.2292580806414197,31762202424.188473,USD,18.067907199388426,3.5831487999999996,USD,1046.4984693457184,0.592697961119014,Non-energy minerals,Neutral,64.74,USD,Other metals/Minerals
ARES,Ares Management Corporation,3.1319910514541416,3457302,1.3513751102513585,31730084197.657715,USD,66.15897412156845,2.1601,USD,24.846838515778522,3.56498520603305,Finance,Buy,142.91,USD,Investment managers
CNC,Centene Corporation,0.48619824341279044,6024382,0.9874291715286483,31650258504.457336,USD,,-10.4394,USD,-358.10710577065714,0,Health services,Buy,64.07,USD,Managed health care
ON,ON Semiconductor Corporation,0.47263681592039236,24577529,2.5911964600824215,31438414003.81343,USD,52.015453960077274,1.553,USD,44.896435902220546,0,Electronic technology,Buy,80.78,USD,Semiconductors
ILMN,"Illumina, Inc.",2.4475171578522374,3059096,1.4946767431786199,30654510566.53477,USD,37.8333550755698,5.3659,USD,-32.04022442595337,0,Health technology,Buy,203.01,USD,Medical specialties
MDB,"MongoDB, Inc.",6.16532111629466,2051645,1.6440922799876785,30567350987.096573,USD,,-0.371,USD,67.75595341560926,0,Technology services,Buy,380.04,USD,Packaged software
ZM,"Zoom Communications, Inc.",3.9389312977099284,3649643,1.1008397906667524,29944875777.135876,USD,14.985692273827869,6.8145,USD,104.61506125390343,0,Technology services,Buy,102.12,USD,Packaged software
GFS,GlobalFoundries Inc.,4.019196160767857,6855455,1.626089395725986,28543414952.357533,USD,37.37068965517242,1.392,USD,,0.23995200959808,Electronic technology,Buy,52.02,USD,Semiconductors
TEAM,Atlassian Corporation,6.36389933468326,4525873,1.0690021768008209,27993132811.462254,USD,,-0.8268,USD,49.81487101669196,0,Technology services,Strong buy,110.31,USD,Packaged software
P,"Everpure, Inc.",4.716745695033692,3724734,1.7606971289180435,27895422163.106567,USD,127.57677105503191,0.6578,USD,77.01829924650163,0,Electronic technology,Buy,83.92,USD,Computer peripherals
NMR,Nomura Holdings Inc,1.5641293013555824,869033,0.8633052287984907,27547651838.286102,USD,11.30980027868091,0.8612,USD,4.743371442471409,3.02774765380605,Finance,Buy,9.74,USD,Investment managers
ATI,ATI Inc.,3.640223695111848,1456956,1.0235227668686142,27314555566.859203,USD,66.00382535285583,3.0324,USD,9.706595275134763,0,Non-energy minerals,Strong buy,200.15,USD,Other metals/Minerals
TSEM,Tower Semiconductor Ltd.,2.2234551041311064,6320916,3.585271637708166,26769064579.45233,USD,111.25406409660938,2.153,USD,19.213732004429676,0,Electronic technology,Strong buy,239.53,USD,Semiconductors
HPQ,HP Inc.,6.268436578171088,13631061,0.8875409921842171,26356545175.72935,USD,10.636256273988781,2.7096,USD,4.43228243274494,4.38569321533923,Technology services,Neutral,28.82,USD,Information technology services
FSLR,"First Solar, Inc.",4.683538864778931,4107588,1.799929354012512,26182863871.28879,USD,15.019048910698213,16.2214,USD,38.72032564821782,0,Electronic technology,Buy,243.63,USD,Semiconductors
AFRM,"Affirm Holdings, Inc.",3.2923443078143717,3062727,0.9164770510208723,26162276322.383183,USD,70.99236641221374,1.1004,USD,,0,Finance,Buy,78.12,USD,Finance/Rental/Leasing
SYF,Synchrony Financial,1.5930113052415145,3689736,0.8746790806337104,25730325576.5334,USD,8.110020613481833,9.7509,USD,18.484270386526852,1.54162384378212,Finance,Buy,79.08,USD,Finance/Rental/Leasing
OKTA,"Okta, Inc.",4.41477714204987,3082226,1.1533591798563563,25692205181.864803,USD,107.36490412550842,1.3768,USD,113.75562800807329,0,Technology services,Buy,147.82,USD,Packaged software
GPN,Global Payments Inc.,2.3900684534168724,4009295,1.363625773657838,24140213460.320225,USD,23.510136665157045,3.7537,USD,-39.404652364117716,1.1602274045713,Finance,Buy,88.25,USD,Finance/Rental/Leasing
AXIA,AXIA Energia,-0.5681818181818229,1764582,0.9115868017870496,23933962630.7796,USD,16.416510318949346,0.6396,USD,-16.173001310615998,7.62770833333333,Utilities,Strong buy,10.5,USD,Electric utilities
LUV,Southwest Airlines Company,3.4629275547057627,5214822,0.8294432337270288,23824438743.018906,USD,29.54380004853191,1.6484,USD,147.8796992481203,1.52963671128107,Transportation,Buy,48.7,USD,Airlines
SN,"SharkNinja, Inc.",4.745593822009096,3444676,2.2393043656890703,23802312197.270664,USD,33.903805837768104,4.9608,USD,57.1066632885736,0,Consumer durables,Strong buy,168.19,USD,Electronics/Appliances
MRNA,"Moderna, Inc.",3.3550961189698976,3993591,0.8050008127430368,22752451999.99129,USD,,-7.9848,USD,-6.204860141255336,0,Health technology,Neutral,56.99,USD,Biotechnology
ENTG,"Entegris, Inc.",15.463258785942491,4417506,1.4022601259946867,22045399463.095844,USD,83.31988472622479,1.735,USD,-15.096647908000968,0.319488817891374,Producer manufacturing,Buy,144.56,USD,Industrial machinery
ROKU,"Roku, Inc.",1.021667580910593,3992655,1.5538307611832847,21855251027.413536,USD,110.7910964054745,1.3298,USD,,0,Technology services,Buy,147.33,USD,Packaged software
MKSI,MKS Inc.,3.477643718949601,2890996,1.930297147322672,21665457846.396023,USD,67.04569206972953,4.7842,USD,42.58210645526615,0.303245370669075,Producer manufacturing,Buy,320.76,USD,Industrial machinery
GH,"Guardant Health, Inc.",0.604419819933249,2184370,1.0629569265388088,21443205770.797142,USD,,-3.4997,USD,-4.599796760117153,0,Health technology,Strong buy,159.79,USD,Medical specialties
AS,"Amer Sports, Inc.",0.055248618784519386,3623398,0.8796846224250171,20945004659.03481,USD,44.86560138734052,0.8073,USD,116.8412570507655,0,Consumer durables,Strong buy,36.22,USD,Recreational products
