Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-0.41239856325660873,76269562,0.6988896250572512,5412377868160.955,USD,28.389755517912675,7.9106,USD,125.14871211043119,0.124163008292315,Electronic technology,Strong buy,224.58,USD,Semiconductors
GOOGL,Alphabet Inc.,1.3409111091377408,23452486,0.8151201161581184,4171099600674.859,USD,17.199439345299997,19.9053,USD,112.01789423230548,0.251605837255424,Technology services,Strong buy,342.36,USD,Internet software/Services
GOOG,Alphabet Inc.,1.2030568989193302,15679311,0.8162919223172678,4165425646938.8984,USD,17.03114245954595,19.9053,USD,112.01789423230548,0.2537464923279,Technology services,Strong buy,339.01,USD,Internet software/Services
MSFT,Microsoft Corporation,-0.5313729798837309,16535327,0.7703988400086899,3697401799030.4814,USD,27.746943506413903,17.9454,USD,31.54908515130189,0.727141972472483,Technology services,Strong buy,497.93,USD,Packaged software
AMZN,"Amazon.com, Inc.",0.04412885626027409,32652740,0.8868076979605739,2689891144425.18,USD,20.058555732509692,12.4326,USD,89.7295812477109,0,Retail trade,Strong buy,249.38,USD,Internet retail
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.0255950914750172,7694781,0.6995353325897891,2035626146616.1956,USD,32.562251894622875,13.855,USD,57.778461047908635,0.618400026871487,Electronic technology,Strong buy,451.15,USD,Semiconductors
META,"Meta Platforms, Inc.",4.500739147963984,34552706,1.4062725245441066,1980915229718.3723,USD,29.29029633452239,26.5477,USD,-3.857269092594742,0.282220131702728,Technology services,Strong buy,777.59,USD,Internet software/Services
MU,"Micron Technology, Inc.",0.8069933201477648,21923339,0.8679407185900394,1220343095602.9153,USD,24.461820923161905,44.1721,USD,697.287150515315,0.0494458334888234,Electronic technology,Strong buy,1080.53,USD,Semiconductors
AMD,"Advanced Micro Devices, Inc.",2.3836253884577174,25122898,1.010010116102668,1027251178654.3406,USD,161.49364814577183,3.8965,USD,124.2848097622748,0,Electronic technology,Strong buy,629.26,USD,Semiconductors
INTC,Intel Corporation,3.907014681892338,118164983,0.9883258059123136,673396967283.1825,USD,,-2.1201,USD,55.48626858150668,0,Electronic technology,Buy,127.39,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-1.2673319538464127,1260575,0.8678903065690878,659107392349.6737,USD,53.62535412969708,32.121,USD,23.100094276713666,0.442227030683075,Electronic technology,Strong buy,1722.5,USD,Semiconductors
PLTR,Palantir Technologies Inc.,0.4171228948328961,22583169,0.8675525004304404,462804979054.3139,USD,164.11589262888793,1.1735,USD,289.99667663675643,0,Technology services,Buy,192.59,USD,Packaged software
LRCX,Lam Research Corporation,-0.03905233012234695,7542033,0.6771000608202341,384355770631.2061,USD,53.28845786853108,5.7641,USD,38.61340900346286,0.338453527727154,Producer manufacturing,Strong buy,307.16,USD,Industrial machinery
AMAT,"Applied Materials, Inc.",-0.027404190733166547,4153662,0.597660258898312,376363576566.364,USD,40.89349153243886,11.5972,USD,38.26930872499227,0.417386905012859,Producer manufacturing,Strong buy,474.25,USD,Industrial machinery
ARM,Arm Holdings plc,-7.884291556410881,9463884,1.5390072377483424,355174077393,USD,314.25933524825604,0.9748,USD,48.43916552459267,0,Electronic technology,Buy,306.34,USD,Semiconductors
HSBC,"HSBC Holdings, plc.",-0.07980049875311551,1403282,0.9496353199303083,343752560092.28,USD,14.35203094777563,6.9795,USD,38.945293836598175,3.72069825436409,Finance,Buy,100.17,USD,Major banks
DELL,Dell Technologies Inc.,-2.5116854300420233,7921429,0.7972188080955206,340808365683.98804,USD,31.116374381033655,17.2263,USD,153.3204905738066,0.420129858319844,Electronic technology,Buy,536.02,USD,Computer processing hardware
PANW,"Palo Alto Networks, Inc.",-0.8593948639715219,3961648,0.5427877661701478,318954550100.8106,USD,760.819512195122,0.5125,USD,-67.97075182801076,0,Technology services,Buy,389.92,USD,Packaged software
MS,Morgan Stanley,-1.0433993648873396,5098843,0.8592610141223449,308333571961.7481,USD,15.862447884683752,12.3764,USD,40.22978086972287,2.09183930641665,Finance,Buy,196.32,USD,Investment managers
CRWD,"CrowdStrike Holdings, Inc.",-1.0743266410148933,8351534,0.6151651955821072,265885143376.6727,USD,7273.669467787115,0.0357,USD,,0,Technology services,Buy,259.67,USD,Packaged software
ANET,"Arista Networks, Inc.",1.0959846660441293,3555999,0.658931080440665,259433903704.77853,USD,64.85276499148748,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy,205.7,USD,Computer peripherals
SNDK,Sandisk Corporation,-3.4653220079600597,8133133,0.8185658817355796,256763290319.92664,USD,24.05755308830651,72.8927,USD,,0,Electronic technology,Buy,1753.62,USD,Computer peripherals
SAP,SAP SE,-0.7169309657202502,1172366,0.6778813684765614,247817914628.7933,USD,26.288594991451276,7.9544,USD,31.651770936775904,1.01372566707815,Technology services,Strong buy,209.11,USD,Packaged software
TXN,Texas Instruments Incorporated,-0.7226175629080872,3340005,0.4552355988580582,247170480344.3179,USD,41.17414388511098,6.5733,USD,20.161231354197135,2.08348617122735,Electronic technology,Buy,270.65,USD,Semiconductors
KLAC,KLA Corporation,-0.3992334717342702,7773845,0.7576542070738693,244179761343.52652,USD,51.01562286991848,3.6677,USD,20.65993354607363,0.359310124560843,Electronic technology,Buy,187.11,USD,Semiconductors
SFTBY,Softbank Group Corp,-7.561436672967871,4891418,1.3799747314956927,227650731163.00146,USD,6.9192401570625055,2.8269,USD,182.3229801258364,0.103180529300567,Communications,Buy,19.56,USD,Specialty telecommunications
MRVL,"Marvell Technology, Inc.",-0.7474128018397811,13291905,0.7193746357774559,227073256009.39883,USD,85.26787184299779,3.0369,USD,,0.0919892679187428,Electronic technology,Strong buy,258.95,USD,Semiconductors
